,id,time,mood,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,call,circumplex.arousal,circumplex.valence,activity,screen,sms
25,AS14.01,2014-03-20,7.062411347517733,155.58599999999996,1087.76,350.856,0.0,0.0,0.0,10.343,807.731,0.0,45.173,20.072,0.0,1.0,-0.24326241134751775,0.7007092198581562,0.08154761904761905,330.5300004482274,0.0
26,AS14.01,2014-03-21,6.2,1247.8589999999995,3611.791000000001,405.1619999999999,49.544000000000004,0.0,5.479,130.167,3347.662999999999,278.91,0.0,324.57099999999997,0.0,6.0,0.2,0.2,0.13405010398938863,5681.347999811173,0.0
27,AS14.01,2014-03-22,6.4,473.44700000000006,2350.691000000001,93.324,21.076,0.0,0.0,98.14300000000001,439.6319999999999,37.305,0.0,53.188,0.0,3.0,0.6,0.5,0.2368802192399581,5471.668999671935,1.0
28,AS14.01,2014-03-23,6.8,641.6780000000001,3197.6310000000008,94.346,43.403000000000006,0.0,0.0,72.82300000000001,900.8389999999999,0.0,0.0,30.086,30.386,0.0,0.2,0.8,0.14274111580506368,4937.653001308441,0.0
29,AS14.01,2014-03-24,6.0,800.0779999999997,5670.345999999999,70.289,34.106,0.0,3.01,66.55799999999999,2265.048,35.004999999999995,0.0,10.064,0.0,10.0,0.8,0.0,0.07896105611559798,7634.874000787733,0.0
30,AS14.01,2014-03-25,6.75,561.2229999999998,5095.565,68.206,43.053999999999995,0.0,0.0,80.882,1628.8029999999999,0.0,234.22000000000003,222.893,0.0,0.0,0.5,0.5,0.09837411239050675,6412.8109986782065,1.0
31,AS14.01,2014-03-26,6.6,731.8709999999998,4992.526000000001,246.90599999999998,52.331,0.0,0.0,97.498,2030.3039999999999,0.0,0.0,33.365,0.0,0.0,-0.2,0.6,0.10130832167007593,7144.847000360487,0.0
32,AS14.01,2014-03-27,7.0,890.6229999999998,4593.532,402.69899999999996,42.218999999999994,0.0,114.21600000000001,58.532,440.7670000000001,47.314,0.0,178.02599999999998,0.0,2.0,0.2,0.8,0.1595106409690975,5699.342000007628,1.0
33,AS14.01,2014-03-28,6.4,744.5539999999996,866.8329999999999,479.193,89.166,233.03599999999997,0.0,124.818,512.741,490.3179999999999,0.0,130.822,0.0,5.0,-0.6,0.6,0.09569802163712016,2976.2099995613116,0.0
34,AS14.01,2014-03-29,8.0,447.28899999999993,1620.255,393.48199999999997,0.0,0.0,0.0,86.09100000000001,472.88800000000003,52.435,0.0,336.222,0.0,4.0,0.2,1.0,0.06820281010186964,2258.0850000381465,1.0
35,AS14.01,2014-03-30,7.5,355.79400000000004,438.07,463.56899999999996,0.0,0.0,0.0,74.003,167.685,0.0,66.477,38.296,0.0,0.0,-0.5,0.75,0.049092970521542004,910.8570005893713,0.0
36,AS14.01,2014-03-31,7.4,985.4440000000002,3680.8109999999997,1202.1490000000001,40.052,51.176,0.0,268.554,1350.6549999999997,183.38100000000003,29.29,208.29600000000002,0.0,6.0,0.0,0.6,0.07050548088338955,5478.967999935148,0.0
37,AS14.01,2014-04-01,6.0,1225.1150000000011,5337.084000000001,632.8329999999999,417.349,231.735,31.923,121.19000000000001,3899.857000000002,229.84600000000003,0.0,362.359,0.0,1.0,0.2,0.0,0.11844324271273599,7429.659001111983,0.0
38,AS14.01,2014-04-02,6.5,1187.5950000000003,5769.532999999999,796.204,246.644,0.0,0.0,313.413,2602.49,0.0,0.0,160.849,0.0,4.0,0.3333333333333333,0.6666666666666666,0.10191661063822345,9159.597000360487,0.0
39,AS14.01,2014-04-03,6.4,1334.1100000000008,9218.253,902.079,76.234,0.0,0.0,211.898,2574.141,19.082,0.0,180.76,0.0,4.0,-1.2,0.0,0.04923847270844107,9629.271000146866,0.0
40,AS14.01,2014-04-04,6.2,978.6369999999996,3345.8410000000003,527.0369999999999,0.0,0.0,0.0,176.80100000000002,1645.9389999999999,158.24099999999999,0.0,125.68400000000001,0.0,2.0,0.2,0.4,0.12668931120732582,4754.8899998664865,1.0
41,AS14.01,2014-04-05,6.8,467.8969999999998,1470.8439999999998,76.369,0.0,0.0,0.0,81.133,363.208,187.94500000000002,0.0,118.956,0.0,0.0,-0.4,0.6,0.11900230220344549,2267.651999711991,0.0
42,AS14.01,2014-04-06,6.5,570.5429999999998,1955.9510000000005,187.214,0.0,114.406,0.0,119.12,321.4599999999999,0.0,0.0,46.249,0.0,4.0,-0.75,0.5,0.06440779944246812,3733.023999929429,0.0
43,AS14.01,2014-04-07,6.5,814.4340000000002,3594.5899999999997,144.90499999999997,46.128,0.0,17.107,170.34799999999998,1122.0329999999997,60.247,0.0,4.062,0.0,1.0,-0.6666666666666666,0.25,0.05067062117431789,4383.373999595644,0.0
44,AS14.01,2014-04-08,6.6,815.3409999999998,4736.913000000002,808.7200000000001,19.131,0.0,0.0,50.412,1771.4740000000002,0.0,0.0,36.143,0.0,1.0,-0.4,0.3333333333333333,0.07532705826134849,7041.589002132417,0.0
45,AS14.01,2014-04-09,7.4,848.1459999999994,4614.611,766.6579999999999,0.0,0.0,0.0,84.955,2825.433,0.0,0.0,31.395,0.0,4.0,-0.8,1.0,0.12038411453232874,9604.204000711443,0.0
